Entity,Code,Year,Greenhouse gas emissions from agriculture,Greenhouse gas emissions from land use change and forestry,Greenhouse gas emissions from waste,Greenhouse gas emissions from buildings,Greenhouse gas emissions from industry,Greenhouse gas emissions from manufacturing and construction,Greenhouse gas emissions from transport,Greenhouse gas emissions from electricity and heat,Fugitive emissions of greenhouse gases from energy production,Greenhouse gas emissions from other fuel combustion,Greenhouse gas emissions from bunker fuels
Egypt,EGY,2008,32730000,-170000,22660000,14660000,25830000,36450000,39970000,74870000,26150000,6500000,4430000
Egypt,EGY,2009,30610000,-170000,23120000,15710000,30540000,31610000,42770000,78930000,26580000,7090000,4120000
Egypt,EGY,2010,29280000,-170000,23580000,15750000,32020000,31840000,45890000,77990000,25840000,7180000,4070000.2
Egypt,EGY,2011,31110000,920000,24120000,15970000,31110000,31860000,47880000,81550000,25780000,7330000,3780000
Egypt,EGY,2012,31290000,920000,24660000,15760000,31470000,28250000,52110000,87830000,28670000,7180000,3820000
Egypt,EGY,2013,30710000,920000,25200000,15860000,30210000,31660000,52610000,88290000,26970000,2840000,2650000
Egypt,EGY,2014,30740000,920000,25730000,16260000,30260000,28890000,54860000,92340000,28010000,2960000,2720000
Egypt,EGY,2015,30690000,920000,26270000,16740000,30650000,28670000,56300000,96970000,27040000,2900000,2250000
Egypt,EGY,2016,31240000,180000,26840000,17150000,32160000,31320000,58770000,99340000,27600000,3020000,1570000
Egypt,EGY,2017,30270000,180000,27400000,17250000,31450000,37170000,57060000,106300000,27970000,2880000,2350000
Egypt,EGY,2018,27840000,180000,27970000,17240000,31020000,40100000,57530000,97270000,29510000,2880000,3780000
Egypt,EGY,2019,22670000,180000,28540000,16780000,30030000,32099998,53240000,91290000,30220000,2580000,3410000
Egypt,EGY,2020,22720000,180000,29100000,16490000,28830000,29860000,52830000,88510000,28820000,2610000,2750000
El Salvador,SLV,1990,3030000,1090000,1050000,490000,290000,530000,1300000,170000,0,0,120000
El Salvador,SLV,1991,3100000,1090000,1070000,500000,310000,580000,1410000,670000,0,0,90000
El Salvador,SLV,1992,3140000,1090000,1090000,560000,190000,760000,1640000,640000,0,0,140000
El Salvador,SLV,1993,3020000,1090000,1110000,590000,390000,760000,1790000,840000,0,0,150000
El Salvador,SLV,1994,3070000,1090000,1130000,610000,380000,800000,1910000,1210000,0,0,140000
El Salvador,SLV,1995,2750000,1090000,1200000,670000,400000,820000,2170000,1360000,0,0,160000
El Salvador,SLV,1996,3200000,1080000,1270000,640000,430000,720000,2150000,920000,0,0,150000
El Salvador,SLV,1997,3050000,1080000,1330000,790000,470000,950000,2190000,1400000,0,0,150000
El Salvador,SLV,1998,2730000,1090000,1400000,830000,500000,1039999.94,2350000,1450000,0,0,190000
El Salvador,SLV,1999,2910000,1090000,1470000,810000,490000,1070000,2670000,1090000,0,0,210000
El Salvador,SLV,2000,2700000,1090000,1540000,540000,510000,1090000,2590000,1160000,0,0,220000
El Salvador,SLV,2001,3020000,1090000,1610000,560000,560000,1140000,2600000,1270000,0,0,230000
El Salvador,SLV,2002,3110000,1080000,1680000,519999.97,630000,1190000,2530000,1350000,0,0,210000
El Salvador,SLV,2003,3010000,1080000,1750000,640000,660000,1200000,2750000,1560000,0,0,220000
El Salvador,SLV,2004,3110000,1080000,1820000,640000,610000,1360000,2910000,1490000,0,0,230000
El Salvador,SLV,2005,3240000,1090000,1880000,640000,560000,1310000,3130000,1540000,0,0,240000
El Salvador,SLV,2006,3280000,1080000,1900000,760000,640000,1350000,3010000,1850000,0,0,230000
El Salvador,SLV,2007,3470000,1080000,1920000,610000,640000,1560000,3230000,1930000,0,0,360000
El Salvador,SLV,2008,3600000,1080000,1940000,650000,650000,1250000,3030000,1700000,0,0,360000
El Salvador,SLV,2009,3400000,1080000,1960000,690000,630000,810000,3130000,1820000,0,0,360000
El Salvador,SLV,2010,3260000,1080000,1980000,790000,670000,910000,3090000,1490000,0,0,350000
El Salvador,SLV,2011,2910000,1080000,2000000,670000,700000,1050000,3190000,1570000,0,0,350000
El Salvador,SLV,2012,3030000,1080000,2010000,740000,740000,1310000,2810000,1610000,0,0,270000
El Salvador,SLV,2013,2550000,1110000,2030000,800000,700000,850000,2850000,1700000,0,0,460000
El Salvador,SLV,2014,2700000,1080000,2040000,730000,640000,1050000,2870000,1730000,0,0,480000
El Salvador,SLV,2015,2700000,1110000,2060000,730000,660000,950000,3380000,1740000,0,0,480000
El Salvador,SLV,2016,2480000,1080000,2079999.9,560000,640000,1190000,3530000,1690000,0,0,530000
El Salvador,SLV,2017,2310000,1110000,2089999.9,450000,680000,1280000,3460000,1010000,0,0,530000
El Salvador,SLV,2018,2140000,1090000,2110000,710000,770000,1410000,3570000,920000,0,0,560000
El Salvador,SLV,2019,1880000,1100000,2120000,970000,870000,1610000,3840000,1200000,0,0,580000
El Salvador,SLV,2020,1970000,1090000,2140000,750000,790000,1370000,3280000,770000,0,0,230000
Equatorial Guinea,GNQ,1990,20000,3830000,90000,30000,0,10000,10000,20000,0,0,10000
Equatorial Guinea,GNQ,1991,20000,3830000,90000,30000,0,10000,10000,20000,140000,0,10000
Equatorial Guinea,GNQ,1992,20000,3830000,90000,30000,0,10000,10000,20000,1880000,0,10000
Equatorial Guinea,GNQ,1993,20000,3830000,100000,40000,10000,10000,20000,20000,2060000,0,10000
Equatorial Guinea,GNQ,1994,20000,3830000,100000,40000,10000,20000,20000,20000,2220000,0,10000
Equatorial Guinea,GNQ,1995,20000,3830000,100000,40000,10000,20000,20000,20000,2390000,0,10000
Equatorial Guinea,GNQ,1996,20000,3830000,110000,40000,20000,30000,40000,20000,2700000,0,10000
Equatorial Guinea,GNQ,1997,20000,3830000,110000,40000,30000,40000,90000,20000,4200000,0,10000
Equatorial Guinea,GNQ,1998,20000,3830000,120000,40000,30000,70000,80000,30000,5400000,0,20000
Equatorial Guinea,GNQ,1999,20000,3830000,120000,50000,40000,60000,120000,30000,7000000,0,20000
Equatorial Guinea,GNQ,2000,20000,3830000,120000,50000,50000,100000,190000,40000,6140000,0,40000
Equatorial Guinea,GNQ,2001,20000,3830000,129999.99,50000,50000,90000,220000,60000,8340000,0,40000
Equatorial Guinea,GNQ,2002,20000,3830000,129999.99,60000,50000,270000,300000,60000,7350000,0,50000
Equatorial Guinea,GNQ,2003,20000,3830000,140000,60000,60000,300000,350000,70000,8390000,0,90000
Equatorial Guinea,GNQ,2004,20000,3830000,140000,70000,60000,2250000,360000,460000,9840000,0,100000
Equatorial Guinea,GNQ,2005,20000,3830000,150000,80000,60000,2270000,400000,450000,10220000,0,90000
Equatorial Guinea,GNQ,2006,20000,3830000,150000,100000,70000,2210000,440000,500000,10030000,0,90000
Equatorial Guinea,GNQ,2007,20000,3830000,160000,110000,90000,2640000,470000,700000,10020000,0,90000
Equatorial Guinea,GNQ,2008,20000,3830000,170000,110000,100000,1940000,480000,1070000,9440000,0,90000
Equatorial Guinea,GNQ,2009,20000,3830000,170000,120000,110000,2460000,500000,1080000,8220000.5,0,90000
Equatorial Guinea,GNQ,2010,20000,3830000,180000,129999.99,120000,2290000,519999.97,1110000,8470000,0,90000
Equatorial Guinea,GNQ,2011,20000,3830000,180000,129999.99,150000,2600000,540000,1230000,7350000,0,100000
Equatorial Guinea,GNQ,2012,20000,3830000,190000,129999.99,170000,2550000,560000,1460000,6800000,0,110000
Equatorial Guinea,GNQ,2013,20000,3830000,190000,129999.99,190000,2590000,590000,1500000,6530000,0,110000
Equatorial Guinea,GNQ,2014,20000,3830000,200000,129999.99,220000,2540000,610000,1510000,8530000,0,120000
Equatorial Guinea,GNQ,2015,20000,3830000,210000,129999.99,240000,2170000,620000,1520000,7750000,0,120000
Equatorial Guinea,GNQ,2016,20000,3830000,210000,129999.99,270000,2700000,640000,1550000,6850000,0,129999.99
Equatorial Guinea,GNQ,2017,20000,3830000,220000,129999.99,300000,2630000,519999.97,1560000,5960000,0,129999.99
Equatorial Guinea,GNQ,2018,20000,3830000,230000,120000,320000,2500000,490000,1430000,5800000,0,120000
Equatorial Guinea,GNQ,2019,20000,3830000,230000,110000,350000,2400000,530000,1300000,5340000,0,120000
Equatorial Guinea,GNQ,2020,20000,3830000,240000,100000,380000,2050000,440000,1230000,5080000,0,80000
Eritrea,ERI,1990,3360000,440000,310000,,0,,,,0,,
Eritrea,ERI,1991,3370000,440000,320000,,0,,,,0,,
Eritrea,ERI,1992,3450000,440000,320000,220000,0,20000,120000,270000,0,0,730000
Eritrea,ERI,1993,2820000,440000,320000,240000,0,40000,210000,330000,0,0,510000
Eritrea,ERI,1994,2880000,440000,350000,240000,20000,50000,290000,320000,0,0,680000
Eritrea,ERI,1995,2920000,440000,360000,280000,20000,60000,340000,310000,0,0,450000
Eritrea,ERI,1996,3370000,440000,390000,290000,20000,50000,390000,330000,0,0,500000
Eritrea,ERI,1997,3870000,440000,420000,290000,30000,50000,370000,310000,0,0,259999.98
Eritrea,ERI,1998,4090000.2,440000,440000,220000,30000,40000,230000,240000,0,0,20000
Eritrea,ERI,1999,4190000,450000,460000,220000,30000,40000,210000,290000,0,0,30000
Eritrea,ERI,2000,4360000,470000,390000,230000,30000,40000,210000,280000,0,0,30000
Eritrea,ERI,2001,4010000.2,460000,410000,240000,30000,40000,250000,290000,0,0,60000
Eritrea,ERI,2002,3950000,460000,420000,240000,30000,40000,280000,259999.98,0,0,30000
Eritrea,ERI,2003,4070000.2,460000,430000,240000,30000,40000,280000,270000,0,0,40000
Eritrea,ERI,2004,4130000,460000,450000,200000,30000,40000,259999.98,310000,0,0,40000
Eritrea,ERI,2005,4210000,460000,460000,200000,30000,30000,190000,280000,0,0,30000
Eritrea,ERI,2006,4050000.2,460000,470000,200000,30000,30000,160000,250000,0,0,50000
Eritrea,ERI,2007,4350000,460000,480000,200000,40000,20000,140000,270000,0,0,80000
Eritrea,ERI,2008,4340000,460000,490000,190000,40000,20000,120000,230000,0,0,40000
Eritrea,ERI,2009,4350000,460000,500000,190000,40000,30000,120000,250000,0,0,50000
Eritrea,ERI,2010,4240000,460000,510000,190000,40000,20000,140000,270000,0,0,40000
Eritrea,ERI,2011,4420000,380000,530000,200000,90000,20000,240000,220000,0,0,60000
Eritrea,ERI,2012,4450000,380000,540000,200000,120000,20000,210000,250000,0,0,50000
Eritrea,ERI,2013,4490000,380000,550000,200000,129999.99,20000,200000,230000,0,0,50000
Eritrea,ERI,2014,4500000,380000,560000,200000,129999.99,20000,200000,240000,0,0,70000
Eritrea,ERI,2015,4520000,380000,570000,190000,120000,20000,200000,230000,0,0,30000
Eritrea,ERI,2016,4560000,450000,590000,200000,129999.99,20000,200000,240000,0,0,40000
Eritrea,ERI,2017,4590000,450000,600000,210000,140000,20000,200000,240000,0,0,60000
Eritrea,ERI,2018,4600000,450000,620000,210000,170000,20000,220000,280000,0,0,110000
Eritrea,ERI,2019,4610000,450000,630000,210000,180000,20000,230000,300000,0,0,100000
Eritrea,ERI,2020,4640000,450000,640000,220000,180000,20000,220000,310000,0,0,60000
Estonia,EST,1990,3790000,240000,370000,1330000,10000,3620000,2480000,26840000,60000,610000,690000
Estonia,EST,1991,3660000,240000,380000,1310000,10000,3500000,2240000,24550000,60000,570000,790000
Estonia,EST,1992,3510000,200000,390000,750000,340000,2040000,1170000,18510000,50000,450000,430000
Estonia,EST,1993,3160000,200000,410000,590000,250000,1890000,1310000,14150000,30000,370000,540000
Estonia,EST,1994,2700000,200000,410000,519999.97,360000,1590000,1620000,14660000,40000,210000,450000
Estonia,EST,1995,2550000,310000,390000,630000,380000,1610000,1590000,12430000,40000,160000,340000
Estonia,EST,1996,2380000,320000,430000,730000,400000,1700000,1680000,13100000,50000,220000,340000
Estonia,EST,1997,2270000,340000,490000,670000,440000,1450000,1770000,13720000,50000,170000,390000
Estonia,EST,1998,2290000,500000,500000,580000,460000,1290000,1840000,12400000,40000,180000,390000
Estonia,EST,1999,2270000,860000,510000,620000,430000,900000,1710000,12070000,30000,80000,420000
Estonia,EST,2000,2190000,990000,550000,630000,460000,960000,1700000,11410000,40000,100000,400000
Estonia,EST,2001,2130000,1039999.94,560000,680000,480000,1150000,2030000,11030000,50000,230000,370000
Estonia,EST,2002,2140000,1090000,550000,590000,460000,830000,2150000,10870000,40000,259999.98,430000
Estonia,EST,2003,2130000,1100000,530000,640000,450000,970000,2069999.9,12670000,50000,280000,420000
Estonia,EST,2004,2170000,1170000,530000,650000,490000,980000,2110000,12680000,50000,250000,580000
Estonia,EST,2005,2140000,1190000,500000,630000,510000,1039999.94,2210000,12590000,50000,240000,540000
Estonia,EST,2006,2150000,1210000,480000,560000,570000,1030000,2380000,11760000,60000,210000,840000
Estonia,EST,2007,2170000,1240000,460000,550000,770000,1310000,2510000,14890000,60000,220000,970000
Estonia,EST,2008,2230000,1260000,440000,550000,760000,1180000,2430000,12790000,60000,230000,1010000
Estonia,EST,2009,2160000,1290000,430000,510000,420000,750000,2190000,10410000,50000,220000,830000
Estonia,EST,2010,2170000,1360000,440000,519999.97,490000,790000,2310000,14670000,50000,220000,810000
Estonia,EST,2011,2200000,-3480000,390000,550000,610000,850000,2310000,14420000,50000,270000,740000
Estonia,EST,2012,2230000,-3470000,380000,570000,610000,830000,2340000,12880000,50000,270000,1470000
Estonia,EST,2013,2260000,-3450000,340000,570000,610000,1070000,2290000,14560000,60000,270000,1500000
Estonia,EST,2014,2320000,-3470000,310000,580000,640000,820000,2290000,13450000,60000,330000,1180000
Estonia,EST,2015,2350000,-3470000,300000,570000,430000,670000,2350000,10520000,60000,340000,1090000
Estonia,EST,2016,2220000,4600000,270000,590000,430000,690000,2400000,12010000,60000,340000,1010000
Estonia,EST,2017,2260000,4600000,259999.98,580000,530000,640000,2490000,12750000,70000,330000,1180000
Estonia,EST,2018,2240000,4630000,250000,570000,510000,670000,2530000,11650000,70000,330000,1150000
Estonia,EST,2019,2310000,4620000,240000,570000,490000,730000,2480000,5990000,80000,300000,790000
Estonia,EST,2020,2310000,4640000,230000,560000,200000,470000,2310000,3740000,80000,290000,1010000
Eswatini,SWZ,1990,1130000,-90000,380000,310000,0,259999.98,460000,270000,0,30000,0
Eswatini,SWZ,1991,1160000,-90000,380000,310000,10000,259999.98,470000,250000,0,30000,0
Eswatini,SWZ,1992,1200000,-90000,390000,270000,10000,150000,450000,210000,0,30000,0
Eswatini,SWZ,1993,1010000,-90000,400000,270000,10000,160000,450000,100000,0,40000,0
Eswatini,SWZ,1994,1030000,-90000,410000,340000,10000,720000,460000,100000,0,40000,0
Eswatini,SWZ,1995,1060000,-90000,420000,340000,10000,730000,460000,50000,0,40000,0
Eswatini,SWZ,1996,1070000,-40000,430000,330000,10000,610000,310000,50000,0,40000,0
Eswatini,SWZ,1997,1050000,-70000,440000,330000,10000,500000,420000,60000,0,40000,0
Eswatini,SWZ,1998,1030000,-10000,450000,330000,10000,500000,440000,60000,0,40000,0
Eswatini,SWZ,1999,990000,-50000,460000,330000,10000,530000,500000,50000,0,40000,0
Eswatini,SWZ,2000,980000,-80000,470000,220000,20000,340000,519999.97,160000,0,40000,0
Eswatini,SWZ,2001,870000,-120000,470000,250000,20000,390000,450000,170000,0,30000,0
Eswatini,SWZ,2002,910000,-120000,480000,220000,20000,330000,460000,220000,0,30000,0
Eswatini,SWZ,2003,980000,-110000,480000,210000,20000,250000,480000,210000,0,30000,0
Eswatini,SWZ,2004,980000,-110000,480000,200000,20000,240000,480000,210000,0,30000,0
Eswatini,SWZ,2005,1010000,-120000,490000,190000,20000,220000,510000,200000,0,30000,0
Eswatini,SWZ,2006,930000,-129999.99,500000,190000,30000,220000,519999.97,210000,0,30000,0
Eswatini,SWZ,2007,1000000,10000,500000,190000,30000,230000,530000,220000,0,30000,0
Eswatini,SWZ,2008,980000,-40000,510000,180000,30000,240000,500000,220000,0,30000,0
Eswatini,SWZ,2009,950000,-120000,519999.97,180000,40000,190000,580000,230000,0,30000,0
Eswatini,SWZ,2010,1030000,-100000,530000,150000,40000,129999.99,600000,90000,0,40000,0
Eswatini,SWZ,2011,1020000,-110000,540000,190000,40000,120000,530000,50000,0,80000,0
Eswatini,SWZ,2012,1030000,-110000,540000,180000,50000,150000,530000,60000,0,30000,0
Eswatini,SWZ,2013,1030000,-110000,550000,210000,60000,140000,690000,50000,0,30000,0
Eswatini,SWZ,2014,1020000,-110000,560000,220000,60000,150000,690000,60000,0,30000,0
Eswatini,SWZ,2015,980000,-120000,570000,230000,70000,250000,630000,50000,0,30000,0
Eswatini,SWZ,2016,950000,-110000,580000,290000,80000,330000,560000,60000,0,30000,0
Eswatini,SWZ,2017,980000,-120000,590000,230000,80000,310000,650000,50000,0,20000,10000
Eswatini,SWZ,2018,990000,-120000,590000,230000,90000,310000,650000,50000,0,20000,10000
Eswatini,SWZ,2019,1030000,-90000,600000,150000,100000,280000,740000,90000,0,60000,10000
Eswatini,SWZ,2020,990000,-120000,610000,150000,100000,270000,730000,90000,0,60000,0
Ethiopia,ETH,1990,55990000,26530000,2780000,5880000,150000,550000,950000,300000,0,270000,570000
Ethiopia,ETH,1991,56120000,26530000,2810000,6100000,129999.99,560000,950000,320000,0,270000,590000
Ethiopia,ETH,1992,57490000,26530000,2890000,6430000,140000,259999.98,740000,70000,0,100000,120000
Ethiopia,ETH,1993,50870000,26520000,2960000,6750000,160000,390000,900000,80000,0,120000,150000
Ethiopia,ETH,1994,51420000,26520000,3070000,7020000,210000,519999.97,1000000,70000,0,129999.99,190000
Ethiopia,ETH,1995,51560000,26560000,3170000,7310000,270000,570000,1120000,80000,0,150000,200000
Ethiopia,ETH,1996,54270000,25990000,3230000,7610000,320000,610000,1240000,70000,0,170000,190000
Ethiopia,ETH,1997,55940000,27830000,3290000,7880000,360000,660000,1310000,50000,0,190000,170000
Ethiopia,ETH,1998,61320000,27710000,3350000,8069999.5,380000,720000,1440000,40000,0,210000,170000
Ethiopia,ETH,1999,60640000,28970000,3420000,8270000.5,350000,710000,1480000,20000,0,210000,190000
Ethiopia,ETH,2000,57050000,28170000,3480000,8530000,460000,790000,1630000,20000,0,240000,210000
Ethiopia,ETH,2001,59680000,30650000,3550000,8980000,470000,960000,2030000,20000,0,300000,250000
Ethiopia,ETH,2002,68490000,30900000,3620000,9240000,480000,1010000,2120000,20000,0,320000,240000
Ethiopia,ETH,2003,65860000,31210000,3690000,9800000,580000,950000,2210000,10000,0,340000,230000
Ethiopia,ETH,2004,67370000,31170000,3760000,9900000,660000,1120000,2390000,20000,0,380000,350000
Ethiopia,ETH,2005,70620000,31400000,3830000,9980000,760000,1150000,2160000,10000,0,360000,460000
Ethiopia,ETH,2006,74820000,31260000,3910000,10290000,850000,1230000,2300000,10000,0,390000,560000
Ethiopia,ETH,2007,83770000,31430000,3990000,10650000,820000,1340000,2500000,170000,0,430000,700000
Ethiopia,ETH,2008,86960000,31120000,4070000.2,10950000,920000,1390000,2590000,450000,0,450000,680000
Ethiopia,ETH,2009,91010000,30730000,4150000,11160000,890000,1360000,2700000,490000,0,460000,790000
Ethiopia,ETH,2010,95370000,31250000,4230000,11390000,900000,1730000,2760000,60000,0,480000,1020000
Ethiopia,ETH,2011,93450000,31780000,4310000,11680000,1110000,2480000,2920000,50000,0,510000,1020000
Ethiopia,ETH,2012,97610000,31840000,4390000,12090000,1720000,2390000,3320000,20000,0,570000,1190000
Ethiopia,ETH,2013,100150000,31470000,4470000,12370000,2160000,3000000,3880000,10000,0,680000,1310000
Ethiopia,ETH,2014,103740000,31440000,4560000,13180000,2570000,3970000,4320000,10000,0,750000,1460000
Ethiopia,ETH,2015,106160000,31340000,4640000,12980000,3420000,3630000,4810000,0,0,810000,1530000
Ethiopia,ETH,2016,109620000,31620000,4720000,13000000,3860000,4500000,5850000,0,0,990000,1890000
Ethiopia,ETH,2017,111730000,31660000,4810000,13020000,4150000,4370000,6570000,0,0,1090000,2190000
Ethiopia,ETH,2018,113200000,31340000,4900000,13210000,4360000,4910000,6980000,0,0,1160000,2350000
Ethiopia,ETH,2019,123040000,31630000,4980000,13520000,4460000,5170000,7340000,0,0,1180000,2040000
Ethiopia,ETH,2020,129759990,31970000,5070000,13860000,4550000,5320000,7560000,0,0,1160000,1420000
Europe,,1990,998930000,-603260000,339070000,1108750000,346919970,1240710000,1189450000,3463320000,492539970,265310000,233440000
Europe,,1991,959339970,-603260000,343620000,1121969900,329640000,1141480000,1202330000,3434790100,465940000,256260020,219630000
Europe,,1992,895150000,-603390000,344860000,1008360000,356730020,1046130000,1181120000,3308450000,483600000,189260000,221310000
Europe,,1993,859820000,-603449900,345880000,1018420000,331670000,942480000,1133440000,3090679800,479490000,217900000,220610000
Europe,,1994,831789950,-603570000,345309980,949079940,334130020,888290000,1102430000,2946840000,481130000,172340000,220030000
Europe,,1995,799210050,-602909950,346960000,938130000,339140000,941750000,1095290000,2881060000,474800000,172180000,224460000
Europe,,1996,781640000,-589750000,346890020,997550000,337770020,909220000,1113750000,2903490000,467370000,160080000,233959980
Europe,,1997,756940000,-602680000,345229980,931790000,345070000,889839940,1119969900,2776700000,449760000,153930000,248110000
Europe,,1998,733150000,-594900030,342210000,906000000,329530000,842349950,1176000000,2774610200,459319970,139680000,259060000
Europe,,1999,714480000,-598669950,337979970,911540000,304040000,822820030,1190929900,2733280000,465119970,133060000,260600000
Europe,,2000,702270000,-596059970,335230000,882480060,313340000,859340000,1179270000,2771270100,478050000,135730000,276000000
Europe,,2001,691090000,-1054010000,331860000,923829950,307510000,855330000,1201960000,2793850000,488149980,134750000,277970020
Europe,,2002,685540000,-1053080060,328300000,880280000,300850020,838140000,1217510000,2818010000,503770000,130580000,279170020
Europe,,2003,680390000,-1050059970,323530000,911820000,302850020,851500000,1243040000,2919260000,549690000,124360000,285380000
Europe,,2004,666130000,-1050490000,317140000,903670000,317869980,835770050,1284340000,2880520000,552120000,125450000,301630000
Europe,,2005,651510000,-1054179900,311210000,893090000,325190000,800400000,1283540100,2891910000,583430000,119400000,312770000
Europe,,2006,643810000,-1052270000,307120000,896050000,327230000,788820030,1308770000,2964109800,563280000,110000000,329440000
Europe,,2007,648240000,-1055270000,302860000,813400000,342290020,810370000,1330310000,2949240000,571050050,108570000,341330000
Europe,,2008,650029950,-1047390000,297320000,869680000,323880000,782700000,1325100000,2856940000,544190000,106970000,344500000
Europe,,2009,634970050,-1053919940,293470000,832859970,277700000,665330050,1268360000,2631320000,535470000,97100000,314979970
Europe,,2010,632880000,-1052059970,288330020,873290000,276740000,716400000,1278140000,2751100200,531329950,98120000,320620000
Europe,,2011,628920000,-1172630000,285829980,784240000,274960000,721800000,1276290000,2791170000,538909950,99130000,330860000
Europe,,2012,627770050,-1170630000,284410020,789440000,278050000,744090000,1229760000,2774220000,499370000,95320000,313880000
Europe,,2013,631709950,-1175490000,280800000,799600000,280980000,731480000,1224390000,2648780000,492909980,95530000,315570020
Europe,,2014,638720000,-1171350000,279109980,716980000,288760000,741400000,1231840000,2463560000,482510000,94260000,342860000
Europe,,2015,637790000,-1175390000,279589980,748120000,277820000,723120000,1243350000,2423430000,488910000,91590000,341260000
Europe,,2016,638839940,-700900000,279240000,773330050,276840000,727300000,1267120000,2350600200,506950000,92540000,342260000
Europe,,2017,639909950,-703290050,278410020,788330050,271029980,725030000,1289690000,2325770000,514989980,93250000,359510000
Europe,,2018,629070000,-699319940,277620000,812619970,263910000,724810000,1301650000,2287639800,538090050,101100000,372370000
Europe,,2019,629560000,-700090050,276829980,795350000,256370000,739880000,1306380000,2158560000,543210000,99150000,369810000
Europe,,2020,628669950,-702009900,276020000,779640000,244980000,713960000,1135230000,1962170000,540440000,99080000,238960000
European Union (27),,1990,520830000,-206540000,165170000,620260030,216900000,672570000,660030000,1477329900,45310000,98430000,160290000
European Union (27),,1991,497429980,-206540000,168480000,648960000,203590000,609590000,668660000,1469150100,44460000,99540000,158640000
European Union (27),,1992,472170020,-206620000,170430000,602660000,210520000,553930000,687020000,1436860000,43020000,92800000,163370000
European Union (27),,1993,456540000,-206660000,171160000,609380030,208100000,534940000,692170000,1384330000,42740000,95320000,165910000
European Union (27),,1994,451050000,-206700000,170480000,567110000,220550000,550820030,696800000,1386930000,42310000,96200000,168220000
European Union (27),,1995,443850020,-206390000,170590000,578420000,228430000,566440000,705640000,1398330000,43720000,95610000,171850000
European Union (27),,1996,447149980,-206460000,169550000,630469950,234050000,563800000,728410000,1429070000,44310000,97470000,179540000
European Union (27),,1997,445680000,-206380000,167370000,589630000,235440000,563120000,740270000,1388910100,43200000,95780000,190920000
European Union (27),,1998,441210000,-205890000,165290000,576190000,219150000,536180000,770059970,1388939900,42580000,94540000,200110000
European Union (27),,1999,438309980,-205580000,162790000,566040000,209910000,511170020,788059970,1351680000,42140000,88630000,201040000
European Union (27),,2000,433320000,-204610000,161740000,540420000,213120000,524750000,787760000,1371969900,41340000,87930000,214220000
European Union (27),,2001,426760000,-244090000,159550000,577550000,208850000,516810000,802330050,1390320000,40960000,85650000,216260000
European Union (27),,2002,423010020,-244200000,156960000,555450000,208250000,502740000,810510000,1413470000,40510000,83570000,218800000
European Union (27),,2003,418780000,-244240000,154510000,584640000,212320000,512789980,824800000,1457470000,41620000,76560000,225530000
European Union (27),,2004,417900000,-244360000,150330000,580100000,220250000,497300000,844740000,1456890000,39900000,77820000,238800000
European Union (27),,2005,410520000,-243920000,145460000,581020000,223150000,486660000,842940000,1451530000,40440000,78140000,245360000
European Union (27),,2006,406790000,-243890000,142320000,579789950,224220000,470300000,855240000,1467010000,39770000,75220000,260170020
European Union (27),,2007,412149980,-243640000,138760000,504429980,234500000,471210000,864340030,1491610000,38380000,70930000,271530000
European Union (27),,2008,407640000,-243620000,134840000,548330050,220700000,452500000,847580000,1414710000,37520000,69740000,271600000
European Union (27),,2009,400580000,-243380000,132979990,536340030,193840000,375700000,820750000,1303040000,35050000,67150000,245030000
European Union (27),,2010,401320000,-242930000,130130010,564130000,185920000,403900000,814370000,1339680000,35180000,69640000,247050000
European Union (27),,2011,394510000,-503530000,126960000,494300000,184190000,403520000,808510000,1322510000,34050000,67000000,249300000
European Union (27),,2012,394340000,-503340000,124110000,508420000,180580000,388500000,777710000,1301670000,32669998,65449996,237730000
European Union (27),,2013,397309980,-503429980,120450000,518050000,177330000,381620000,770610000,1233790100,29530000,65670000,230570000
European Union (27),,2014,401829980,-503490000,116920000,442210000,182790000,370660000,778150000,1165339900,27790000,63230000,227810000
European Union (27),,2015,405210000,-503510000,115090000,466190000,177420000,366420000,793099970,1190689900,27820000,62160000,233110000
European Union (27),,2016,404580000,-162680000,111450000,474880000,177500000,371020000,812460000,1168780000,27350000,61660000,242180000
European Union (27),,2017,405140000,-161910000,110070000,472380000,172860000,371549980,827469950,1178470000,27730000,62340000,252470000
European Union (27),,2018,395620000,-161710000,108700000,454080000,167380000,377900000,827120000,1118040000,27180000,70160000,262670020
European Union (27),,2019,394230000,-161430000,107330000,442410020,160550000,365750000,833860000,997050000,27060000,69370000,263790020
European Union (27),,2020,391940000,-161180000,105960000,438260000,150610000,350810000,720390000,863979970,26340000,70260000,177780000
Fiji,FJI,1990,920000,-2560000,100000,70000,30000,90000,410000,60000,0,40000,280000
Fiji,FJI,1991,930000,-2560000,100000,50000,40000,100000,420000,60000,0,50000,220000
Fiji,FJI,1992,930000,-2560000,100000,50000,40000,110000,450000,60000,0,50000,290000
Fiji,FJI,1993,1010000,-2560000,100000,50000,40000,120000,430000,60000,0,50000,330000
Fiji,FJI,1994,1050000,-2560000,100000,50000,40000,120000,420000,80000,0,40000,360000
Fiji,FJI,1995,1100000,-2560000,100000,50000,40000,120000,430000,100000,0,10000,380000
Fiji,FJI,1996,1090000,-2560000,100000,50000,40000,120000,430000,150000,0,20000,400000
Fiji,FJI,1997,1090000,-2550000,110000,50000,40000,129999.99,430000,120000,0,20000,430000
